module,type,name,res_id,src,value
account,field,"account.fiscal.position.account.template,account_dest_id",0,Account Destination,
account,view,account.move,0,Account Entry,科目凭证
account,model,"ir.model,name",account.model_account_move,Account Entry,会计凭证
account,view,account.move,0,Account Entry Line,科目凭证明细
account,view,account.move.line,0,Account Entry Line,科目凭证明细
account,view,account.move.reconcile,0,Account Entry Reconcile,科目凭证核销
account,view,account.journal,0,Account Journal,科目分类账
account,field,"account.analytic.account,user_id",0,Account Manager,财务管理
account,view,account.fiscal.position,0,Account Mapping,科目图
account,field,"account.fiscal.position,account_ids",0,Account Mapping,科目图
account,field,"account.fiscal.position.template,account_ids",0,Account Mapping,科目图
account,wizard_field,"account_use_models,init_form,model",0,Account Model,会计模式
account,model,"ir.model,name",account.model_account_model,Account Model,科目模块
account,model,"ir.model,name",account.model_account_model_line,Account Model Entries,科目模块项
account,field,"account.invoice,move_name",0,Account Move,科目凭证
account,field,"account.analytic.account,name",0,Account Name,科目名称
account,rml,account.analytic.account.analytic.check,0,Account Name,科目名称
account,rml,account.analytic.account.balance,0,Account Name,科目名称
account,rml,account.analytic.account.inverted.balance,0,Account Name,科目名称
account,rml,account.central.journal,0,Account Name,科目名称
account,field,"account.bank.accounts.wizard,acc_no",0,Account No.,科目号
account,rml,account.central.journal,0,Account Num.,科目编码
account,rml,account.tax.code.entries,0,Account Number,科目编码
account,field,"res.partner,property_account_payable",0,Account Payable,应付账款
account,field,"res.partner,property_account_receivable",0,Account Receivable,应收账款
account,model,"ir.model,name",account.model_account_move_reconcile,Account Reconciliation,科目核销
account,field,"account.fiscal.position.account,account_src_id",0,Account Source,科目来自
account,field,"account.fiscal.position.account.template,account_src_id",0,Account Source,科目来自
account,view,account.account,0,Account Statistics,科目报表
account,model,"ir.model,name",account.model_account_subscription,Account Subscription,科目循环
account,model,"ir.model,name",account.model_account_subscription_line,Account Subscription Line,科目循环明细
account,view,account.tax,0,Account Tax,科目税
account,view,account.tax.code,0,Account Tax Code,科目税编码
account,view,account.tax.code.template,0,Account Tax Code Template,科目税编码模板
account,view,account.tax.template,0,Account Tax Template,科目税模板
account,view,account.account.template,0,Account Template,科目模板
account,model,"ir.actions.act_window,name",account.action_account_template_form,Account Templates,科目模板
account,model,"ir.ui.menu,name",account.menu_action_account_template_form,Account Templates,科目模板
account,field,"account.account,user_type",0,Account Type,科目类别
account,field,"account.account.template,user_type",0,Account Type,科目类别
account,view,account.account.type,0,Account Type,科目类别
account,field,"account.analytic.account,type",0,Account Type,科目类别
account,model,"ir.model,name",account.model_account_account_type,Account Type,科目类别
account,model,"ir.actions.act_window,name",account.action_account_type_form,Account Types,科目类别
account,model,"ir.ui.menu,name",account.menu_action_account_type_form,Account Types,科目类别
account,wizard_view,"account.chart,init",0,Account charts,科目表
account,model,"ir.actions.act_window,name",account.report_account_analytic_journal_tree,Account cost and revenue by journal,分类账的科目成本和收益
account,model,"ir.ui.menu,name",account.report_account_analytic_journal_print,Account cost and revenue by journal,分类账科目的成本和收益
account,model,"ir.actions.act_window,name",account.report_account_analytic_journal_tree_month,Account cost and revenue by journal (This Month),分类账的科目成本与收益(本月)
account,model,"ir.ui.menu,name",account.report_account_analytic_journal_print_month,Account cost and revenue by journal (This Month),分类账成本与收益(本月)
account,code,addons\account\account_bank_statement.py,0,"Account move line ""%s"" is not valid","科目凭证明细""%s""没确认"
account,rml,account.analytic.account.journal,0,Account n°,科目编码
account,model,"ir.model,name",account.model_account_period,Account period,科目期间
account,wizard_field,"account.automatic.reconcile,init,account_ids",0,Account to reconcile,科目核销
account,view,product.product,0,Accounting,结账
account,view,product.template,0,Accounting,结账
account,view,res.partner,0,Accounting,会计
account,view,account.move,0,Accounting Entries,会计凭证
account,model,"process.node,name",account.process_node_accountingentries0,Accounting Entries,会计凭证
account,model,"process.node,name",account.process_node_supplieraccountingentries0,Accounting Entries,会计凭证
account,rml,account.tax.code.entries,0,Accounting Entries-,会计凭证-
account,view,product.category,0,Accounting Properties,会计属性
account,model,"process.node,name",account.process_node_accountingstatemententries0,Accounting Statement,会计报表
account,model,"ir.module.module,shortdesc",account.module_meta_information,Accounting and financial management,会计和财务管理
account,model,"process.node,note",account.process_node_accountingstatemententries0,Accounting entries at statement's confirmation,确认会计凭证报表
account,view,account.journal,0,Accounts Allowed (empty for no control),允许操作的科目(留空为为不设限制)
account,view,account.fiscal.position.template,0,Accounts Mapping,科目图
account,view,account.journal,0,Accounts Type Allowed (empty for no control),允许操作的科目类别(留空为为不设限制)
account,field,"account.account,active",0,Active,生效
account,field,"account.analytic.account,active",0,Active,生效
account,field,"account.analytic.journal,active",0,Active,生效
account,field,"account.journal,active",0,Active,生效
account,field,"account.journal.period,active",0,Active,生效
account,field,"account.payment.term,active",0,Active,生效
account,field,"account.tax,active",0,Active,生效
account,field,"account.invoice,comment",0,Additional Information,附加信息
account,view,account.invoice,0,Additionnal Information,附加信息
account,model,"ir.actions.wizard,name",account.wizard_aged_trial_balance,Aged Partner Balance,旧的业务伙伴余额
account,model,"ir.ui.menu,name",account.menu_aged_trial_balance,Aged Partner Balance,旧的业务伙余额
account,wizard_view,"account.aged.trial.balance,init",0,Aged Trial Balance,账龄试算表
account,selection,"account.account.balance.report,checktype,display_account",0,All,所有
account,selection,"account.general.ledger.report,checktype,display_account",0,All,所有
account,selection,"account.tax,type_tax_use",0,All,所有
account,model,"ir.actions.act_window,name",account.act_acc_analytic_acc_5_report_hr_timesheet_invoice_journal,All Analytic Entries,所有分析凭证
account,selection,"account.chart,init,target_move",0,All Entries,所有凭证
account,model,"ir.actions.report.xml,name",account.account_move_line_list,All Entries,所有凭证
account,model,"ir.ui.menu,name",account.next_id_42,All Months,所有月份
account,selection,"account.chart,init,target_move",0,All Posted Entries,所有已登帐凭证
account,model,"ir.actions.act_window,name",account.act_account_partner_account_move,All account entries,所有会计凭证
account,wizard_view,"account.move.validate,init",0,All draft account entries in this journal and period will be validated. It means you won't be able to modify their accouting fields.,分类账和期间所有科目凭证草稿将要验证.这意味你将不能修改其会计字段.
account,help,"account.account.balance.report,checktype,periods",0,All periods if empty,留空为所有期间
account,help,"account.general.ledger.report,checktype,periods",0,All periods if empty,留空为所有期间
account,help,"account.partner.balance.report,init,periods",0,All periods if empty,留空为所有期间
account,help,"account.third_party_ledger.report,init,periods",0,All periods if empty,留空为所有期间
account,help,"account.vat.declaration,init,periods",0,All periods if empty,留空为所有期间
account,field,"account.journal,update_posted",0,Allow Cancelling Entries,允许取消录入
account,field,"account.account.template,reconcile",0,Allow Reconciliation,允许核销
account,help,"account.account.type,sign",0,"Allows you to change the sign of the balance amount displayed in the reports, so that you can see positive figures instead of negative ones in expenses accounts.",允许你修改报表显示的余额金额的符号，所以你能够看见正数的数字替代费用科目的负数
account,code,addons\account\account_move_line.py,0,Already Reconciled,已经核销
account,field,"account.analytic.line,amount",0,Amount,金额
account,field,"account.bank.statement.line,amount",0,Amount,金额
account,field,"account.bank.statement.reconcile.line,amount",0,Amount,金额
account,rml,account.invoice,0,Amount,金额
account,field,"account.invoice.tax,amount",0,Amount,金额
account,field,"account.move,amount",0,Amount,金额
account,field,"account.tax,amount",0,Amount,金额
account,field,"account.tax.template,amount",0,Amount,金额
account,xsl,account.transfer,0,Amount,金额
account,field,"account.model.line,amount_currency",0,Amount Currency,金额
account,field,"account.move.line,amount_currency",0,Amount Currency,货币金额
account,wizard_field,"account.invoice.pay,init,amount",0,Amount paid,付款金额
account,field,"account.bank.statement.line,reconcile_amount",0,Amount reconciled,已核销金额
account,wizard_field,"account.aged.trial.balance,init,direction_selection",0,Analysis Direction,核算方向
account,rml,account.analytic.account.journal,0,Analytic,分析科目
account,model,"ir.ui.menu,name",account.next_id_40,Analytic,核算
account,model,"process.node,name",account.process_node_analytic0,Analytic,核算
account,model,"process.node,name",account.process_node_analyticcost0,Analytic,核算
account,field,"account.analytic.line,account_id",0,Analytic Account,分析科目
account,field,"account.invoice.line,account_analytic_id",0,Analytic Account,分析分类账
account,field,"account.move.line,analytic_account_id",0,Analytic Account,分析科目
account,field,"report.hr.timesheet.invoice.journal,account_id",0,Analytic Account,分析科目
account,view,account.analytic.account,0,Analytic Account Statistics,分析科目统计
account,model,"ir.ui.menu,name",account.menu_analytic_accounting,Analytic Accounting,分析科目
account,model,"ir.actions.act_window,name",account.action_account_analytic_account_form,Analytic Accounts,分析科目
account,model,"ir.model,name",account.model_account_analytic_account,Analytic Accounts,分析科目
account,model,"ir.ui.menu,name",account.account_analytic_def_account,Analytic Accounts,分析科目
account,model,"ir.actions.report.xml,name",account.account_analytic_account_balance,Analytic Balance,核算余额
account,model,"ir.actions.wizard,name",account.account_analytic_account_balance_report,Analytic Balance,核算余额
account,rml,account.analytic.account.balance,0,Analytic Balance -,核算余额
account,model,"ir.actions.act_window,name",account.action_account_analytic_account_tree2,Analytic Chart of Accounts,分析科目表
account,model,"ir.ui.menu,name",account.account_analytic_chart,Analytic Chart of Accounts,科目核算表
account,model,"ir.ui.menu,name",account.account_analytic_chart_balance,Analytic Chart of Accounts,科目核算表
account,model,"ir.ui.menu,name",account.account_analytic_def_chart,Analytic Chart of Accounts,科目核算表
account,model,"ir.actions.report.xml,name",account.account_analytic_account_analytic_check,Analytic Check,核算检查
account,model,"ir.actions.wizard,name",account.account_analytic_account_analytic_check_report,Analytic Check,核算检查
account,rml,account.analytic.account.analytic.check,0,Analytic Check -,核算检查-
account,rml,account.analytic.account.analytic.check,0,Analytic Credit,核算贷方
account,rml,account.analytic.account.analytic.check,0,Analytic Debit,核算借方
account,field,"account.analytic.account,line_ids",0,Analytic Entries,分析凭证
account,view,account.analytic.line,0,Analytic Entries,分析凭证
account,code,addons\account\project\wizard\wizard_account_analytic_line.py,0,Analytic Entries,分析凭证
account,model,"ir.actions.act_window,name",account.action_account_analytic_line_form,Analytic Entries,分析凭证
account,model,"ir.ui.menu,name",account.next_id_41,Analytic Entries,分析凭证
account,view,report.hr.timesheet.invoice.journal,0,Analytic Entries Stats,分析凭证统计
account,model,"ir.actions.act_window,name",account.action_account_analytic_journal_tree2,Analytic Entries by Journal,分类账分析凭证
account,model,"ir.ui.menu,name",account.account_analytic_journal_entries,Analytic Entries by Journal,分类账分析凭证
account,view,account.analytic.line,0,Analytic Entry,分析凭证
account,model,"process.transition,name",account.process_transition_supplieranalyticcost0,Analytic Invoice,分析发票
account,view,account.analytic.journal,0,Analytic Journal,分析分类账
account,field,"account.analytic.line,journal_id",0,Analytic Journal,分析分类账
account,field,"account.journal,analytic_journal_id",0,Analytic Journal,分析分类账
account,model,"ir.actions.report.xml,name",account.analytic_journal_print,Analytic Journal,分析分类账
account,model,"ir.actions.wizard,name",account.account_analytic_account_journal_report,Analytic Journal,分析分类账
account,rml,account.analytic.account.journal,0,Analytic Journal -,分析分类账-
account,model,"ir.actions.act_window,name",account.action_account_analytic_journal_form,Analytic Journal Definition,定义分析分类账
account,model,"ir.ui.menu,name",account.account_def_analytic_journal,Analytic Journal Definition,定义分析分类账
